"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37081","Guilford, NC","70","Proprietors' income 9/",1252100,1140080,1175886,1016264,1138808,1044571,1305840,1402003,1518209,1710360,1742697,1751479,1809041
"37081","Guilford, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37081","Guilford, NC","7010","Total employment",347255,355730,354419,336352,333597,342519,345870,351596,356464,365239,369858,373056,377812
"37081","Guilford, NC","7020","  Wage and salary employment",294593,299066,297526,277929,274496,280103,282469,286743,289840,296901,299323,301313,303863
"37081","Guilford, NC","7040","  Proprietors employment",52662,56664,56893,58423,59101,62416,63401,64853,66624,68338,70535,71743,73949
"37083","Halifax, NC","70","Proprietors' income 9/",91225,81868,63475,51183,67834,81132,84839,74228,43393,26589,29795,45070,32536
"37083","Halifax, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37083","Halifax, NC","7010","Total employment",23341,23723,23188,22660,22418,22269,21679,21590,21460,21169,21104,21183,21235
"37083","Halifax, NC","7020","  Wage and salary employment",19438,19564,19083,18384,18125,17802,17352,17328,17247,16954,16882,16814,16753
"37083","Halifax, NC","7040","  Proprietors employment",3903,4159,4105,4276,4293,4467,4327,4262,4213,4215,4222,4369,4482
"37085","Harnett, NC","70","Proprietors' income 9/",214246,168440,188797,183073,213922,168106,206238,196513,221502,200940,190344,214551,221275
"37085","Harnett, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37085","Harnett, NC","7010","Total employment",35111,36698,35794,34560,34022,34008,34568,35241,36183,36928,38825,40150,40568
"37085","Harnett, NC","7020","  Wage and salary employment",26165,26792,26146,24762,24156,23900,24536,24942,25562,26258,27302,28131,28217
"37085","Harnett, NC","7040","  Proprietors employment",8946,9906,9648,9798,9866,10108,10032,10299,10621,10670,11523,12019,12351
"37087","Haywood, NC","70","Proprietors' income 9/",130903,120009,109509,104694,134247,128022,132329,117627,124156,133976,159550,158561,163535
"37087","Haywood, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37087","Haywood, NC","7010","Total employment",26075,27111,26302,25326,24909,25206,25111,25115,25441,25512,26011,26316,27044
"37087","Haywood, NC","7020","  Wage and salary employment",18434,19067,18652,17910,17815,17716,17797,17833,17937,18084,18399,18442,18970
"37087","Haywood, NC","7040","  Proprietors employment",7641,8044,7650,7416,7094,7490,7314,7282,7504,7428,7612,7874,8074
"37089","Henderson, NC","70","Proprietors' income 9/",304365,262313,272370,253149,275693,261868,293154,277154,291424,314105,338059,363915,372210
"37089","Henderson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37089","Henderson, NC","7010","Total employment",51628,53337,52659,49415,48825,50223,50274,51329,51899,52382,53968,55190,56867
